ticker,block_index,archetype,category,cell,score,reason_cell,reason_text,confidence,source,composite_0_10,composite_0_100
ABVX,3,E: Early Biotech,Financials,C31,6,D31,Cash runway (yrs) -- dominant when FCF-negative          2.89y  -> C (5.5)   band: >= 2.50y | Net debt / EBITDA                                   2.03x  -> C (5.5)   band: <= 2.50x | Diluted share count 3-yr CAGR                       53.9%  -> F (1.5)   band: > 6.0%,high,auto,4.95,49.5
ABVX,3,E: Early Biotech,Business Quality,C32,2,D32,ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0%,low,tier3,4.95,49.5
ABVX,3,E: Early Biotech,Management,C33,4,D33,"EPS beats, last 8Q                                      2  -> D (3.5)   band: >= 2",low,auto,4.95,49.5
ABVX,3,E: Early Biotech,Income,C34,,D34,,none,tier3,4.95,49.5
ABVX,3,E: Early Biotech,Market Sentiment,C35,7,D35,Short interest % of float                            4.7%  -> B (7.5)   band: <= 5.0% | Institutional ownership trend                           0  -> C (5.5)   band: >= -0.50,medium,auto,4.95,49.5
ABVX,3,E: Early Biotech,EPS/Revison Trends,C36,4,D36,"FY2 consensus EPS change vs 3mo ago                -10.4%  -> F (1.5)   band: < -5.0% | Revision breadth (share up)                         60.0%  -> B (7.5)   band: >= 55.0% | EPS beats, last 8Q                                      2  -> D (3.5)   band: >= 2",medium,auto,4.95,49.5
ABVX,3,E: Early Biotech,Industry/Sector Tailwinds,C37,10,D37,Peer-median fwd revenue growth                      37.5%  -> A (9.5)   band: >= 10.0%,low,auto,4.95,49.5
AKAM,4,A: Mature Cash Generator,Valuation,C41,9,D41,FCF yield                                            4.5%  -> B (7.5)   band: >= 4.0% | Fwd P/E vs own 5-yr median                          76.1%  -> A (9.5)   band: >= 25.0% | Fwd TEV/EBITDA vs peer median                       40.8%  -> A (9.5)   band: >= 25.0% | PEG                                                  1.37  -> C (5.5)   band: <= 1.80,high,auto,6.65,66.5
AKAM,4,A: Mature Cash Generator,Growth,C42,6,D42,Fwd revenue growth                                  10.9%  -> B (7.5)   band: >= 8.0% | Fwd EPS growth                                       7.3%  -> C (5.5)   band: >= 5.0% | 3-yr gross margin trend (bps)                     -279bps  -> F (1.5)   band: < -200bps,high,auto,6.65,66.5
AKAM,4,A: Mature Cash Generator,Profitability,C43,3,D43,ROIC 3-yr average                                    5.7%  -> D (3.5)   band: >= 4.0% | ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0% | Gross margin vs peer set                            12.5%  -> F (1.5)   band: < 25.0% | Return on equity                                     9.2%  -> D (3.5)   band: >= 5.0%,high,auto,6.65,66.5
AKAM,4,A: Mature Cash Generator,Financials,C44,6,D44,Net debt / EBITDA                                   4.14x  -> F (1.5)   band: > 4.00x | EBIT / interest expense                            18.08x  -> A (9.5)   band: >= 12.00x | FCF / net income (3-yr)                            143.0%  -> A (9.5)   band: >= 100.0% | Diluted share count 3-yr CAGR                       -2.9%  -> A (9.5)   band: <= 0.0%,high,auto,6.65,66.5
AKAM,4,A: Mature Cash Generator,Business Quality,C45,5,D45,"ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0% | Gross margin stability (band, bps)                +279bps  -> B (7.5)   band: <= +400bps",medium,tier3,6.65,66.5
AKAM,4,A: Mature Cash Generator,Management,C46,6,D46,"SBC as % of revenue                                 11.2%  -> C (5.5)   band: <= 12.0% | EPS beats, last 8Q                                      4  -> C (5.5)   band: >= 4 | Insider net open-market activity                       -2  -> F (1.5)   band: < -1.50",high,auto,6.65,66.5
AKAM,4,A: Mature Cash Generator,Income,C47,10,D47,Revenue change in weakest year shown                 4.7%  -> A (9.5)   band: >= 0.0%,low,tier3,6.65,66.5
AKAM,4,A: Mature Cash Generator,Market Sentiment,C48,2,D48,Short interest % of float                           15.9%  -> F (1.5)   band: > 15.0% | Institutional ownership trend                           1  -> A (9.5)   band: >= 0.50 | Insider net open-market activity (6mo)                 -2  -> F (1.5)   band: < -1.50,high,auto,6.65,66.5
AKAM,4,A: Mature Cash Generator,EPS/Revison Trends,C49,6,D49,"FY2 consensus EPS change vs 3mo ago                 -5.2%  -> F (1.5)   band: < -5.0% | Revision breadth (share up)                         50.0%  -> C (5.5)   band: >= 45.0% | EPS beats, last 8Q                                      4  -> C (5.5)   band: >= 4",high,auto,6.65,66.5
AKAM,4,A: Mature Cash Generator,Industry/Sector Tailwinds,C50,10,D50,Peer-median fwd revenue growth                      11.2%  -> A (9.5)   band: >= 10.0%,low,auto,6.65,66.5
ALL,5,F: Financial Institution,Valuation,C54,6,D54,FCF yield                                           17.1%  -> A (9.5)   band: >= 6.0% | PEG                                                  3.16  -> F (1.5)   band: > 2.50,medium,auto,7.3,73.0
ALL,5,F: Financial Institution,Growth,C55,4,D55,Fwd revenue growth                                   4.3%  -> C (5.5)   band: >= 3.0% | Fwd EPS growth                                     -15.7%  -> F (1.5)   band: < 0.0%,medium,auto,7.3,73.0
ALL,5,F: Financial Institution,Profitability,C56,10,D56,Return on equity (financials bands)                 45.2%  -> A (9.5)   band: >= 15.0%,low,auto,7.3,73.0
ALL,5,F: Financial Institution,Financials,C57,10,D57,Diluted share count 3-yr CAGR                       -0.5%  -> A (9.5)   band: <= 0.0%,low,auto,7.3,73.0
ALL,5,F: Financial Institution,Business Quality,C58,6,D58,ROIC persistence (share of yrs >12%)                50.0%  -> C (5.5)   band: >= 40.0%,low,tier3,7.3,73.0
ALL,5,F: Financial Institution,Management,C59,4,D59,"EPS beats, last 8Q                                      4  -> C (5.5)   band: >= 4 | Insider net open-market activity                       -2  -> F (1.5)   band: < -1.50",medium,auto,7.3,73.0
ALL,5,F: Financial Institution,Income,C60,10,D60,Revenue change in weakest year shown                 5.6%  -> A (9.5)   band: >= 0.0%,low,tier3,7.3,73.0
ALL,5,F: Financial Institution,Market Sentiment,C61,10,D61,Short interest % of float                            0.1%  -> A (9.5)   band: <= 2.0% | Institutional ownership trend                           1  -> A (9.5)   band: >= 0.50 | Insider net open-market activity (6mo)                 -2  -> F (1.5)   band: < -1.50,high,auto,7.3,73.0
ALL,5,F: Financial Institution,EPS/Revison Trends,C62,6,D62,"FY2 consensus EPS change vs 3mo ago                  2.8%  -> B (7.5)   band: >= 2.0% | Revision breadth (share up)                         50.0%  -> C (5.5)   band: >= 45.0% | EPS beats, last 8Q                                      4  -> C (5.5)   band: >= 4",high,auto,7.3,73.0
ALL,5,F: Financial Institution,Industry/Sector Tailwinds,C63,6,D63,Peer-median fwd revenue growth                       3.4%  -> C (5.5)   band: >= 0.0%,low,auto,7.3,73.0
ALLT,6,C: High Growth,Valuation,C67,10,D67,FCF yield                                            6.3%  -> A (9.5)   band: >= 6.0% | Fwd TEV/EBITDA vs peer median                       -4.0%  -> C (5.5)   band: >= -10.0% | PEG                                                  0.83  -> A (9.5)   band: <= 1.00,high,auto,5.35,53.5
ALLT,6,C: High Growth,Growth,C68,6,D68,Fwd revenue growth (high-growth bands)              12.5%  -> D (3.5)   band: >= 8.0% | Rule of 40 (growth% + FCF margin%)                  35.54  -> C (5.5)   band: >= 25 | Gross margin                                        71.1%  -> B (7.5)   band: >= 65.0%,high,auto,5.35,53.5
ALLT,6,C: High Growth,Profitability,C69,3,D69,ROIC 3-yr average                                  -27.0%  -> F (1.5)   band: < 4.0% | ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0% | Gross margin vs peer set                            33.3%  -> D (3.5)   band: >= 25.0% | Return on equity                                     7.2%  -> D (3.5)   band: >= 5.0%,high,auto,5.35,53.5
ALLT,6,C: High Growth,Financials,C70,6,D70,Cash runway (yrs) -- dominant when FCF-negative   FCF-positive  -> A (9.5)   band: >= FCF-positive | Net debt / EBITDA                                  -1.24x  -> A (9.5)   band: <= 0.50x | Diluted share count 3-yr CAGR                        7.7%  -> F (1.5)   band: > 6.0%,high,auto,5.35,53.5
ALLT,6,C: High Growth,Business Quality,C71,3,D71,"ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0% | Gross margin stability (band, bps)               +1457bps  -> D (3.5)   band: <= +1500bps",medium,tier3,5.35,53.5
ALLT,6,C: High Growth,Management,C72,4,D72,"SBC as % of revenue                                  4.9%  -> A (9.5)   band: <= 5.0% | EPS beats, last 8Q                                      2  -> D (3.5)   band: >= 2 | Insider net open-market activity                       -2  -> F (1.5)   band: < -1.50",high,auto,5.35,53.5
ALLT,6,C: High Growth,Income,C73,4,D73,Revenue change in weakest year shown               -24.1%  -> D (3.5)   band: >= -35.0%,low,tier3,5.35,53.5
ALLT,6,C: High Growth,Market Sentiment,C74,6,D74,Short interest % of float                            4.0%  -> B (7.5)   band: <= 5.0% | Institutional ownership trend                           0  -> C (5.5)   band: >= -0.50 | Insider net open-market activity (6mo)                 -2  -> F (1.5)   band: < -1.50,high,auto,5.35,53.5
ALLT,6,C: High Growth,EPS/Revison Trends,C75,4,D75,"FY2 consensus EPS change vs 3mo ago                 -8.6%  -> F (1.5)   band: < -5.0% | Revision breadth (share up)                         50.0%  -> C (5.5)   band: >= 45.0% | EPS beats, last 8Q                                      2  -> D (3.5)   band: >= 2",medium,auto,5.35,53.5
ALLT,6,C: High Growth,Industry/Sector Tailwinds,C76,10,D76,Peer-median fwd revenue growth                      15.4%  -> A (9.5)   band: >= 10.0%,low,auto,5.35,53.5
ALMU,7,C: High Growth,Valuation,C80,2,D80,FCF yield                                           -0.7%  -> F (1.5)   band: < 1.0%,low,auto,3.9,39.0
ALMU,7,C: High Growth,Growth,C81,6,D81,Fwd revenue growth (high-growth bands)              58.9%  -> A (9.5)   band: >= 40.0% | Rule of 40 (growth% + FCF margin%)                  16.12  -> D (3.5)   band: >= 10 | Gross margin                                        59.6%  -> C (5.5)   band: >= 50.0%,high,auto,3.9,39.0
ALMU,7,C: High Growth,Profitability,C82,2,D82,ROIC 3-yr average                                 -201.7%  -> F (1.5)   band: < 4.0% | ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0% | Gross margin vs peer set                            80.0%  -> A (9.5)   band: >= 75.0% | Return on equity                                   -20.7%  -> F (1.5)   band: < 5.0%  [notched F->F: debt_to_equity is not None and debt_to_equity > 2.0],high,auto,3.9,39.0
ALMU,7,C: High Growth,Financials,C83,4,D83,Cash runway (yrs) -- dominant when FCF-negative          1.63y  -> D (3.5)   band: >= 1.50y | Net debt / EBITDA                                   0.42x  -> A (9.5)   band: <= 0.50x | Diluted share count 3-yr CAGR                        7.3%  -> F (1.5)   band: > 6.0%,high,auto,3.9,39.0
ALMU,7,C: High Growth,Business Quality,C84,2,D84,"ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0% | Gross margin stability (band, bps)               +2697bps  -> F (1.5)   band: > +1500bps",medium,tier3,3.9,39.0
ALMU,7,C: High Growth,Management,C85,2,D85,"SBC as % of revenue                                 76.1%  -> F (1.5)   band: > 15.0% | EPS beats, last 8Q                                      2  -> D (3.5)   band: >= 2 | Insider net open-market activity                       -2  -> F (1.5)   band: < -1.50",high,auto,3.9,39.0
ALMU,7,C: High Growth,Income,C86,10,D86,Revenue change in weakest year shown               375.3%  -> A (9.5)   band: >= 0.0%,low,tier3,3.9,39.0
ALMU,7,C: High Growth,Market Sentiment,C87,2,D87,Short interest % of float                           26.8%  -> F (1.5)   band: > 15.0% | Institutional ownership trend                           1  -> A (9.5)   band: >= 0.50 | Insider net open-market activity (6mo)                 -2  -> F (1.5)   band: < -1.50,high,auto,3.9,39.0
ALMU,7,C: High Growth,EPS/Revison Trends,C88,2,D88,"FY2 consensus EPS change vs 3mo ago                -76.0%  -> F (1.5)   band: < -5.0% | Revision breadth (share up)                          0.0%  -> F (1.5)   band: < 30.0% | EPS beats, last 8Q                                      2  -> D (3.5)   band: >= 2",high,auto,3.9,39.0
ALMU,7,C: High Growth,Industry/Sector Tailwinds,C89,10,D89,Peer-median fwd revenue growth                      25.4%  -> A (9.5)   band: >= 10.0%,low,auto,3.9,39.0
AMD,8,B: Durable Compounder,Valuation,C93,9,D93,Fwd P/E vs own 5-yr median                         189.1%  -> A (9.5)   band: >= 25.0% | PEG                                                  1.12  -> B (7.5)   band: <= 1.30,medium,auto,6.85,68.5
AMD,8,B: Durable Compounder,Growth,C94,10,D94,Fwd revenue growth                                  60.6%  -> A (9.5)   band: >= 15.0% | Fwd EPS growth                                      85.9%  -> A (9.5)   band: >= 20.0% | 3-yr gross margin trend (bps)                     +459bps  -> A (9.5)   band: >= +100bps,high,auto,6.85,68.5
AMD,8,B: Durable Compounder,Profitability,C95,3,D95,ROIC 3-yr average                                    3.7%  -> F (1.5)   band: < 4.0% | ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0% | Gross margin vs peer set                            37.5%  -> D (3.5)   band: >= 25.0% | Return on equity                                     8.1%  -> D (3.5)   band: >= 5.0%,high,auto,6.85,68.5
AMD,8,B: Durable Compounder,Financials,C96,10,D96,Net debt / EBITDA                                  -0.23x  -> A (9.5)   band: <= 0.50x | EBIT / interest expense                            34.24x  -> A (9.5)   band: >= 12.00x | FCF / net income (3-yr)                            150.2%  -> A (9.5)   band: >= 100.0% | Diluted share count 3-yr CAGR                        1.4%  -> C (5.5)   band: <= 3.0%,high,auto,6.85,68.5
AMD,8,B: Durable Compounder,Business Quality,C97,4,D97,"ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0% | Gross margin stability (band, bps)                +459bps  -> C (5.5)   band: <= +800bps",medium,tier3,6.85,68.5
AMD,8,B: Durable Compounder,Management,C98,4,D98,"SBC as % of revenue                                  4.7%  -> A (9.5)   band: <= 5.0% | EPS beats, last 8Q                                      3  -> D (3.5)   band: >= 2 | Insider net open-market activity                       -2  -> F (1.5)   band: < -1.50",high,auto,6.85,68.5
AMD,8,B: Durable Compounder,Income,C99,8,D99,Revenue change in weakest year shown                -3.9%  -> B (7.5)   band: >= -5.0%,low,tier3,6.85,68.5
AMD,8,B: Durable Compounder,Market Sentiment,C100,8,D100,Short interest % of float                            2.5%  -> B (7.5)   band: <= 5.0% | Institutional ownership trend                           1  -> A (9.5)   band: >= 0.50 | Insider net open-market activity (6mo)                 -2  -> F (1.5)   band: < -1.50,high,auto,6.85,68.5
AMD,8,B: Durable Compounder,EPS/Revison Trends,C101,10,D101,"FY2 consensus EPS change vs 3mo ago                 25.2%  -> A (9.5)   band: >= 5.0% | Revision breadth (share up)                        100.0%  -> A (9.5)   band: >= 70.0% | EPS beats, last 8Q                                      3  -> D (3.5)   band: >= 2",medium,auto,6.85,68.5
AMD,8,B: Durable Compounder,Industry/Sector Tailwinds,C102,10,D102,Peer-median fwd revenue growth                      42.6%  -> A (9.5)   band: >= 10.0%,low,auto,6.85,68.5
AMZN,9,B: Durable Compounder,Valuation,C106,6,D106,FCF yield                                           -0.4%  -> F (1.5)   band: < 1.0% | Fwd P/E vs own 5-yr median                          44.1%  -> A (9.5)   band: >= 25.0% | Fwd TEV/EBITDA vs peer median                       -8.9%  -> C (5.5)   band: >= -10.0% | PEG                                                  1.46  -> C (5.5)   band: <= 1.80,high,auto,7.55,75.5
AMZN,9,B: Durable Compounder,Growth,C107,8,D107,Fwd revenue growth                                  14.0%  -> B (7.5)   band: >= 8.0% | Fwd EPS growth                                     -12.2%  -> F (1.5)   band: < 0.0% | 3-yr gross margin trend (bps)                     +648bps  -> A (9.5)   band: >= +100bps,high,auto,7.55,75.5
AMZN,9,B: Durable Compounder,Profitability,C108,9,D108,ROIC 3-yr average                                   15.1%  -> B (7.5)   band: >= 13.0% | ROIC persistence (share of yrs >12%)                75.0%  -> B (7.5)   band: >= 60.0% | Gross margin vs peer set                            87.5%  -> A (9.5)   band: >= 75.0% | Return on equity                                    30.6%  -> A (9.5)   band: >= 20.0%,high,auto,7.55,75.5
AMZN,9,B: Durable Compounder,Financials,C109,8,D109,Net debt / EBITDA                                   0.39x  -> A (9.5)   band: <= 0.50x | EBIT / interest expense                            53.68x  -> A (9.5)   band: >= 12.00x | FCF / net income (3-yr)                             43.5%  -> F (1.5)   band: < 50.0% | Diluted share count 3-yr CAGR                        2.0%  -> C (5.5)   band: <= 3.0%,high,auto,7.55,75.5
AMZN,9,B: Durable Compounder,Business Quality,C110,7,D110,"ROIC persistence (share of yrs >12%)                75.0%  -> B (7.5)   band: >= 60.0% | Gross margin stability (band, bps)                +648bps  -> C (5.5)   band: <= +800bps",medium,tier3,7.55,75.5
AMZN,9,B: Durable Compounder,Management,C111,4,D111,"SBC as % of revenue                                  2.5%  -> A (9.5)   band: <= 5.0% | EPS beats, last 8Q                                      3  -> D (3.5)   band: >= 2 | Insider net open-market activity                       -2  -> F (1.5)   band: < -1.50",high,auto,7.55,75.5
AMZN,9,B: Durable Compounder,Income,C112,10,D112,Revenue change in weakest year shown                11.0%  -> A (9.5)   band: >= 0.0%,low,tier3,7.55,75.5
AMZN,9,B: Durable Compounder,Market Sentiment,C113,10,D113,Short interest % of float                            1.1%  -> A (9.5)   band: <= 2.0% | Institutional ownership trend                           1  -> A (9.5)   band: >= 0.50 | Insider net open-market activity (6mo)                 -2  -> F (1.5)   band: < -1.50,high,auto,7.55,75.5
AMZN,9,B: Durable Compounder,EPS/Revison Trends,C114,10,D114,"FY2 consensus EPS change vs 3mo ago                  5.5%  -> A (9.5)   band: >= 5.0% | Revision breadth (share up)                        100.0%  -> A (9.5)   band: >= 70.0% | EPS beats, last 8Q                                      3  -> D (3.5)   band: >= 2",medium,auto,7.55,75.5
AMZN,9,B: Durable Compounder,Industry/Sector Tailwinds,C115,10,D115,Peer-median fwd revenue growth                      14.0%  -> A (9.5)   band: >= 10.0%,low,auto,7.55,75.5
APLD,10,C: High Growth,Valuation,C119,3,D119,FCF yield                                          -32.7%  -> F (1.5)   band: < 1.0% | PEG                                                  1.83  -> D (3.5)   band: <= 2.50,medium,auto,2.95,29.5
APLD,10,C: High Growth,Growth,C120,2,D120,Fwd revenue growth (high-growth bands)             154.4%  -> A (9.5)   band: >= 40.0% | Rule of 40 (growth% + FCF margin%)                -299.74  -> F (1.5)   band: < 10 | Gross margin                                        29.6%  -> F (1.5)   band: < 35.0%,high,auto,2.95,29.5
APLD,10,C: High Growth,Profitability,C121,2,D121,ROIC 3-yr average                                  -22.6%  -> F (1.5)   band: < 4.0% | ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0% | Gross margin vs peer set                            57.1%  -> B (7.5)   band: >= 55.0% | Return on equity                                    -8.4%  -> F (1.5)   band: < 5.0%,high,auto,2.95,29.5
APLD,10,C: High Growth,Financials,C122,2,D122,Cash runway (yrs) -- dominant when FCF-negative          0.01y  -> F (1.5)   band: < 1.50y | Net debt / EBITDA                                  -6.18x  -> A (9.5)   band: <= 0.50x,medium,auto,2.95,29.5
APLD,10,C: High Growth,Business Quality,C123,2,D123,"ROIC persistence (share of yrs >12%)                 0.0%  -> F (1.5)   band: < 20.0% | Gross margin stability (band, bps)               +4084bps  -> F (1.5)   band: > +1500bps",medium,tier3,2.95,29.5
APLD,10,C: High Growth,Management,C124,2,D124,"SBC as % of revenue                                 36.0%  -> F (1.5)   band: > 15.0% | EPS beats, last 8Q                                      4  -> C (5.5)   band: >= 4 | Insider net open-market activity                       -2  -> F (1.5)   band: < -1.50",high,auto,2.95,29.5
APLD,10,C: High Growth,Income,C125,10,D125,Revenue change in weakest year shown                 5.5%  -> A (9.5)   band: >= 0.0%,low,tier3,2.95,29.5
APLD,10,C: High Growth,Market Sentiment,C126,2,D126,Short interest % of float                           26.5%  -> F (1.5)   band: > 15.0% | Institutional ownership trend                           1  -> A (9.5)   band: >= 0.50 | Insider net open-market activity (6mo)                 -2  -> F (1.5)   band: < -1.50,high,auto,2.95,29.5
APLD,10,C: High Growth,EPS/Revison Trends,C127,8,D127,"FY2 consensus EPS change vs 3mo ago                123.9%  -> A (9.5)   band: >= 5.0% | EPS beats, last 8Q                                      4  -> C (5.5)   band: >= 4",low,auto,2.95,29.5
APLD,10,C: High Growth,Industry/Sector Tailwinds,C128,8,D128,Peer-median fwd revenue growth                       5.9%  -> B (7.5)   band: >= 5.0%,low,auto,2.95,29.5
APP,11,B: Durable Compounder,Valuation,C132,7,D132,FCF yield                                            3.2%  -> C (5.5)   band: >= 2.5% | Fwd P/E vs own 5-yr median                         267.4%  -> A (9.5)   band: >= 25.0% | Fwd TEV/EBITDA vs peer median                      -13.1%  -> D (3.5)   band: >= -30.0% | PEG                                                  1.09  -> B (7.5)   band: <= 1.30,high,auto,7.5,75.0
APP,11,B: Durable Compounder,Growth,C133,10,D133,Fwd revenue growth                                  29.8%  -> A (9.5)   band: >= 15.0% | Fwd EPS growth                                      32.0%  -> A (9.5)   band: >= 20.0% | 3-yr gross margin trend (bps)                    +3245bps  -> A (9.5)   band: >= +100bps,high,auto,7.5,75.0
APP,11,B: Durable Compounder,Profitability,C134,9,D134,ROIC 3-yr average                                   59.8%  -> A (9.5)   band: >= 20.0% | ROIC persistence (share of yrs >12%)                75.0%  -> B (7.5)   band: >= 60.0% | Gross margin vs peer set                            75.0%  -> A (9.5)   band: >= 75.0% | Return on equity                                   266.4%  -> B (7.5)   band: >= 20.0%  [demoted to B: debt_to_equity is not None and debt_to_equity >= 1.0],high,auto,7.5,75.0
